violation_type,severity,description,route_id,route_name,route_short_name,stop_id,stop_name,direction_id,details,route_long_name,source
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 13 is missing from 13.5% of trips in direction 0",9011005020100000,201,1,9022005001243002,Kungsgatan,0,"{'canonical_position': 13, 'missing_count': 1283, 'total_trips': 9477, 'missing_percentage': 13.5}",201,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 10 is missing from 14.2% of trips in direction 1",9011005020100000,201,1,9022005001243001,Kungsgatan,1,"{'canonical_position': 10, 'missing_count': 1390, 'total_trips': 9775, 'missing_percentage': 14.2}",201,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 12 alternative patterns.,9011005020100000,201,1,,,0,"{'canonical_pattern': {'1-22': 8184}, 'alternative_patterns': {'1-12_14-22': 1275, '9-12_14-22': 1, '3-12_14-22': 1, '11-12_14-22': 1, '2-22': 1, '11-22': 1, '9-22': 2, '14-22': 4, '10-22': 4, '13-22': 1, '8-22': 1, '16-22': 1}}",201,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 11 alternative patterns.,9011005020100000,201,1,,,1,"{'canonical_pattern': {'1-22': 8377}, 'alternative_patterns': {'1-9': 78, '1-9_11-22': 1307, '3-9_11-22': 1, '9-22': 1, '10-22': 2, '12-22': 2, '22': 1, '6-22': 1, '7-22': 3, '5-22': 1, '11-22': 1}}",201,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404002 in canonical position 7 is missing from 11.8% of trips in direction 0",9011005020200000,202,2,9022005000404002,Infanterivägen,0,"{'canonical_position': 7, 'missing_count': 888, 'total_trips': 7502, 'missing_percentage': 11.8}",202,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 12 is missing from 13.4% of trips in direction 0",9011005020200000,202,2,9022005001243002,Kungsgatan,0,"{'canonical_position': 12, 'missing_count': 1009, 'total_trips': 7502, 'missing_percentage': 13.4}",202,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005020200000,202,2,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 994, 'total_trips': 7366, 'missing_percentage': 13.5}",202,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404001 in canonical position 7 is missing from 11.9% of trips in direction 1",9011005020200000,202,2,9022005000404001,Infanterivägen,1,"{'canonical_position': 7, 'missing_count': 873, 'total_trips': 7366, 'missing_percentage': 11.9}",202,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 9 alternative patterns.,9011005020200000,202,2,,,0,"{'canonical_pattern': {'1-13': 5601}, 'alternative_patterns': {'1-11_13': 1009, '3-13': 1, '2-13': 1, '4-13': 1, '6-13': 1, '1-6*8-13': 884, '8-13': 2, '10-13': 1, '6*8-13': 1}}",202,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 4 alternative patterns.,9011005020200000,202,2,,,1,"{'canonical_pattern': {'1-13': 5499}, 'alternative_patterns': {'1_3-13': 991, '4-13': 1, '5-13': 2, '1-6*8-13': 873}}",202,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 13 is missing from 13.5% of trips in direction 0",9011005020300000,203,3,9022005001243002,Kungsgatan,0,"{'canonical_position': 13, 'missing_count': 1271, 'total_trips': 9445, 'missing_percentage': 13.5}",203,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005020300000,203,3,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 1220, 'total_trips': 9011, 'missing_percentage': 13.5}",203,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 8 alternative patterns.,9011005020300000,203,3,,,0,"{'canonical_pattern': {'1-14': 8164}, 'alternative_patterns': {'1-12_14': 1271, '9-14': 2, '5-14': 2, '7-14': 1, '6-14': 1, '2-14': 1, '4-14': 1, '13-14': 2}}",203,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 6 alternative patterns.,9011005020300000,203,3,,,1,"{'canonical_pattern': {'1-14': 7790}, 'alternative_patterns': {'1_3-14': 1214, '3-14': 1, '5-14': 3, '6-14': 1, '8-14': 1, '2-14': 1}}",203,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404002 in canonical position 11 is missing from 11.9% of trips in direction 0",9011005020400000,204,4,9022005000404002,Infanterivägen,0,"{'canonical_position': 11, 'missing_count': 899, 'total_trips': 7579, 'missing_percentage': 11.9}",204,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 16 is missing from 13.4% of trips in direction 0",9011005020400000,204,4,9022005001243002,Kungsgatan,0,"{'canonical_position': 16, 'missing_count': 1017, 'total_trips': 7579, 'missing_percentage': 13.4}",204,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005020400000,204,4,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 1003, 'total_trips': 7412, 'missing_percentage': 13.5}",204,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404001 in canonical position 7 is missing from 11.8% of trips in direction 1",9011005020400000,204,4,9022005000404001,Infanterivägen,1,"{'canonical_position': 7, 'missing_count': 877, 'total_trips': 7412, 'missing_percentage': 11.8}",204,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 4 alternative patterns.,9011005020400000,204,4,,,0,"{'canonical_pattern': {'1-17': 5662}, 'alternative_patterns': {'1-15_17': 1017, '12-17': 2, '1-10*12-17': 897, '8-17': 1}}",204,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 6 alternative patterns.,9011005020400000,204,4,,,1,"{'canonical_pattern': {'1-17': 5533}, 'alternative_patterns': {'1_3-17': 996, '5-17': 3, '3-17': 1, '8-17': 1, '1-6*8-17': 876, '7-17': 2}}",204,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 14 is missing from 13.5% of trips in direction 0",9011005020500000,205,5,9022005001243002,Kungsgatan,0,"{'canonical_position': 14, 'missing_count': 1285, 'total_trips': 9492, 'missing_percentage': 13.5}",205,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 15 is missing from 13.5% of trips in direction 1",9011005020500000,205,5,9022005001243001,Kungsgatan,1,"{'canonical_position': 15, 'missing_count': 1268, 'total_trips': 9394, 'missing_percentage': 13.5}",205,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 13 alternative patterns.,9011005020500000,205,5,,,0,"{'canonical_pattern': {'1-28': 8190}, 'alternative_patterns': {'1-13_15-28': 1277, '13_15-28': 1, '5-13_15-28': 1, '16-28': 4, '7-28': 2, '3-28': 1, '5-28': 2, '8-28': 5, '13-28': 4, '6-28': 2, '11-28': 1, '21-28': 1, '17-28': 1}}",205,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 19 alternative patterns.,9011005020500000,205,5,,,1,"{'canonical_pattern': {'1-27': 8108}, 'alternative_patterns': {'1-14_16-27': 1259, '8-14_16-27': 1, '17-27': 2, '16-27': 2, '14_16-27': 1, '9-27': 2, '20-27': 2, '7-27': 1, '12-27': 1, '6-27': 1, '15-27': 3, '10-27': 1, '3-27': 1, '14-27': 1, '4-27': 1, '13-27': 2, '11-27': 3, '21-27': 1, '5-27': 1}}",205,direction_topology
missing_stop_coverage,medium,"Stop Carl Cederströms gata, with stop_id 9022005001551001 in canonical position 9 is missing from 11.8% of trips in direction 0",9011005020600000,206,6,9022005001551001,Carl Cederströms gata,0,"{'canonical_position': 9, 'missing_count': 894, 'total_trips': 7571, 'missing_percentage': 11.8}",206,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 16 is missing from 13.4% of trips in direction 0",9011005020600000,206,6,9022005001243002,Kungsgatan,0,"{'canonical_position': 16, 'missing_count': 1018, 'total_trips': 7571, 'missing_percentage': 13.4}",206,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005020600000,206,6,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 993, 'total_trips': 7333, 'missing_percentage': 13.5}",206,direction_topology
missing_stop_coverage,medium,"Stop Carl Cederströms gata, with stop_id 9022005001551002 in canonical position 9 is missing from 11.7% of trips in direction 1",9011005020600000,206,6,9022005001551002,Carl Cederströms gata,1,"{'canonical_position': 9, 'missing_count': 859, 'total_trips': 7333, 'missing_percentage': 11.7}",206,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 11 alternative patterns.,9011005020600000,206,6,,,0,"{'canonical_pattern': {'1-17': 5654}, 'alternative_patterns': {'1-15_17': 1018, '9-17': 2, '12-17': 1, '2-17': 1, '13-17': 1, '3-17': 1, '6-17': 1, '10-17': 1, '1-8_10-17': 889, '11-17': 1, '16-17': 1}}",206,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 5 alternative patterns.,9011005020600000,206,6,,,1,"{'canonical_pattern': {'1-17': 5482}, 'alternative_patterns': {'1_3-17': 987, '8-17': 3, '3-17': 2, '1-8_10-17': 858, '7-8_10-17': 1}}",206,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 15 is missing from 16.3% of trips in direction 0",9011005021000000,210,10,9022005001243001,Kungsgatan,0,"{'canonical_position': 15, 'missing_count': 791, 'total_trips': 4850, 'missing_percentage': 16.3}",210,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 16 is missing from 14.9% of trips in direction 1",9011005021000000,210,10,9022005001243002,Kungsgatan,1,"{'canonical_position': 16, 'missing_count': 750, 'total_trips': 5040, 'missing_percentage': 14.9}",210,direction_topology
missing_stop_coverage,medium,"Stop Stångebro, with stop_id 9022005001458001 in canonical position 18 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005001458001,Stångebro,1,"{'canonical_position': 18, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Runstensgatan, with stop_id 9022005000440001 in canonical position 19 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005000440001,Runstensgatan,1,"{'canonical_position': 19, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Sigbjörnsgatan, with stop_id 9022005002015001 in canonical position 20 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002015001,Sigbjörnsgatan,1,"{'canonical_position': 20, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Åby, with stop_id 9022005002014001 in canonical position 21 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002014001,Åby,1,"{'canonical_position': 21, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Gärstad, with stop_id 9022005000155001 in canonical position 22 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005000155001,Gärstad,1,"{'canonical_position': 22, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Näsby allé, with stop_id 9022005002030001 in canonical position 23 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002030001,Näsby allé,1,"{'canonical_position': 23, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Stensättersvägen, with stop_id 9022005002028001 in canonical position 24 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002028001,Stensättersvägen,1,"{'canonical_position': 24, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Bryggvägen, with stop_id 9022005003595001 in canonical position 25 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005003595001,Bryggvägen,1,"{'canonical_position': 25, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Hallonvägen, with stop_id 9022005002026001 in canonical position 26 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002026001,Hallonvägen,1,"{'canonical_position': 26, 'missing_count': 313, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Östernäs, with stop_id 9022005002025001 in canonical position 27 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002025001,Östernäs,1,"{'canonical_position': 27, 'missing_count': 312, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Udden, with stop_id 9022005002024001 in canonical position 28 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005002024001,Udden,1,"{'canonical_position': 28, 'missing_count': 312, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
missing_stop_coverage,medium,"Stop Roxtuna, with stop_id 9022005000153001 in canonical position 29 is missing from 6.2% of trips in direction 1",9011005021000000,210,10,9022005000153001,Roxtuna,1,"{'canonical_position': 29, 'missing_count': 312, 'total_trips': 5040, 'missing_percentage': 6.2}",210,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 10 alternative patterns.,9011005021000000,210,10,,,0,"{'canonical_pattern': {'1-29': 3985}, 'alternative_patterns': {'14-29': 72, '1-14': 156, '14_16-29': 11, '1-14_16-29': 620, '17-29': 1, '21-29': 1, '2-29': 1, '16-29': 1, '10-29': 1, '19-29': 1}}",210,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 13 alternative patterns.,9011005021000000,210,10,,,1,"{'canonical_pattern': {'1-29': 4016}, 'alternative_patterns': {'17-29': 81, '1-17': 266, '1-15_17': 44, '1-15_17-29': 623, '27-29': 1, '8-17': 1, '6-17': 1, '6-29': 1, '18-29': 1, '16-29': 1, '3-29': 1, '2-29': 2, '15-29': 1}}",210,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 12 is missing from 13.5% of trips in direction 0",9011005021100000,211,11,9022005001243002,Kungsgatan,0,"{'canonical_position': 12, 'missing_count': 838, 'total_trips': 6226, 'missing_percentage': 13.5}",211,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005021100000,211,11,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 817, 'total_trips': 6042, 'missing_percentage': 13.5}",211,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 3 alternative patterns.,9011005021100000,211,11,,,0,"{'canonical_pattern': {'1-13': 5386}, 'alternative_patterns': {'1-11_13': 838, '9-13': 1, '3-13': 1}}",211,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 3 alternative patterns.,9011005021100000,211,11,,,1,"{'canonical_pattern': {'1-13': 5225}, 'alternative_patterns': {'1_3-13': 815, '7-13': 1, '4-13': 1}}",211,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 3 alternative patterns.,9011005021200000,212,12,,,0,"{'canonical_pattern': {'1-17': 3839}, 'alternative_patterns': {'9-17': 1, '4-17': 1, '7-17': 1}}",212,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 4 alternative patterns.,9011005021200000,212,12,,,1,"{'canonical_pattern': {'1-17': 3996}, 'alternative_patterns': {'5-17': 1, '4-17': 2, '7-17': 1, '3-17': 1}}",212,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 12 is missing from 13.5% of trips in direction 0",9011005021300000,213,13,9022005001243002,Kungsgatan,0,"{'canonical_position': 12, 'missing_count': 844, 'total_trips': 6275, 'missing_percentage': 13.5}",213,direction_topology
missing_stop_coverage,medium,"Stop Tallboda centrum, with stop_id 9022005001460002 in canonical position 20 is missing from 11.7% of trips in direction 0",9011005021300000,213,13,9022005001460002,Tallboda centrum,0,"{'canonical_position': 20, 'missing_count': 736, 'total_trips': 6275, 'missing_percentage': 11.7}",213,direction_topology
missing_stop_coverage,medium,"Stop Tallboda skola, with stop_id 9022005000095002 in canonical position 21 is missing from 11.7% of trips in direction 0",9011005021300000,213,13,9022005000095002,Tallboda skola,0,"{'canonical_position': 21, 'missing_count': 736, 'total_trips': 6275, 'missing_percentage': 11.7}",213,direction_topology
missing_stop_coverage,medium,"Stop Tallboda skola, with stop_id 9022005000095001 in canonical position 6 is missing from 11.9% of trips in direction 1",9011005021300000,213,13,9022005000095001,Tallboda skola,1,"{'canonical_position': 6, 'missing_count': 734, 'total_trips': 6182, 'missing_percentage': 11.9}",213,direction_topology
missing_stop_coverage,medium,"Stop Tallboda centrum, with stop_id 9022005001460001 in canonical position 7 is missing from 11.9% of trips in direction 1",9011005021300000,213,13,9022005001460001,Tallboda centrum,1,"{'canonical_position': 7, 'missing_count': 733, 'total_trips': 6182, 'missing_percentage': 11.9}",213,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 15 is missing from 13.4% of trips in direction 1",9011005021300000,213,13,9022005001243001,Kungsgatan,1,"{'canonical_position': 15, 'missing_count': 830, 'total_trips': 6182, 'missing_percentage': 13.4}",213,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 13 alternative patterns.,9011005021300000,213,13,,,0,"{'canonical_pattern': {'1-26': 4683}, 'alternative_patterns': {'11-26': 2, '1-11_13-26': 837, '20-26': 1, '13-26': 2, '2-26': 3, '4-26': 1, '15-26': 2, '5-26': 1, '12-26': 2, '14-26': 2, '3-26': 2, '6-26': 1, '1-19*22-26': 736}}",213,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 10 alternative patterns.,9011005021300000,213,13,,,1,"{'canonical_pattern': {'1-25': 4622}, 'alternative_patterns': {'1-14_16-25': 825, '14_16-25': 3, '5-14_16-25': 1, '14-25': 2, '19-25': 1, '12-25': 1, '13-25': 1, '15-25': 1, '7_12-25': 1, '1-5*8-25': 724}}",213,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 21 is missing from 13.5% of trips in direction 0",9011005021400000,214,14,9022005001243002,Kungsgatan,0,"{'canonical_position': 21, 'missing_count': 653, 'total_trips': 4842, 'missing_percentage': 13.5}",214,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 8 is missing from 13.5% of trips in direction 1",9011005021400000,214,14,9022005001243001,Kungsgatan,1,"{'canonical_position': 8, 'missing_count': 635, 'total_trips': 4699, 'missing_percentage': 13.5}",214,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 13 alternative patterns.,9011005021400000,214,14,,,0,"{'canonical_pattern': {'1-28': 4112}, 'alternative_patterns': {'1-22': 67, '1-20_22-28': 641, '1-20_22': 11, '20_22-28': 1, '5-28': 1, '18-28': 1, '2-28': 1, '20-28': 1, '16-28': 1, '11-28': 2, '13-28': 1, '17-28': 1, '21-28': 1}}",214,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 8 alternative patterns.,9011005021400000,214,14,,,1,"{'canonical_pattern': {'1-28': 4057}, 'alternative_patterns': {'1-7_9-28': 631, '7_10-28': 1, '3-28': 1, '16-28': 1, '7-28': 5, '10-28': 1, '8-28': 1, '12-28': 1}}",214,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 16 is missing from 13.5% of trips in direction 0",9011005021500000,215,15,9022005001243002,Kungsgatan,0,"{'canonical_position': 16, 'missing_count': 641, 'total_trips': 4765, 'missing_percentage': 13.5}",215,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005021500000,215,15,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 633, 'total_trips': 4691, 'missing_percentage': 13.5}",215,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 3 alternative patterns.,9011005021500000,215,15,,,0,"{'canonical_pattern': {'1-17': 4121}, 'alternative_patterns': {'1-15_17': 641, '9-17': 1, '6-17': 2}}",215,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 2 alternative patterns.,9011005021500000,215,15,,,1,"{'canonical_pattern': {'1-17': 4058}, 'alternative_patterns': {'1_3-17': 631, '7-17': 2}}",215,direction_topology
missing_stop_coverage,medium,"Stop Hackefors, with stop_id 9022005001437002 in canonical position 10 is missing from 13.3% of trips in direction 0",9011005021600000,216,16,9022005001437002,Hackefors,0,"{'canonical_position': 10, 'missing_count': 641, 'total_trips': 4816, 'missing_percentage': 13.3}",216,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 20 is missing from 13.4% of trips in direction 0",9011005021600000,216,16,9022005001243001,Kungsgatan,0,"{'canonical_position': 20, 'missing_count': 647, 'total_trips': 4816, 'missing_percentage': 13.4}",216,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 9 is missing from 13.5% of trips in direction 1",9011005021600000,216,16,9022005001243002,Kungsgatan,1,"{'canonical_position': 9, 'missing_count': 638, 'total_trips': 4743, 'missing_percentage': 13.5}",216,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 10 alternative patterns.,9011005021600000,216,16,,,0,"{'canonical_pattern': {'1-28': 3539}, 'alternative_patterns': {'19-28': 67, '15-28': 2, '1-19_21-28': 635, '19_21-28': 11, '18-19_21-28': 1, '20-28': 2, '11-28': 1, '12-28': 2, '2-28': 1, '1-9*11-28': 555}}",216,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 8 alternative patterns.,9011005021600000,216,16,,,1,"{'canonical_pattern': {'1-28': 4100}, 'alternative_patterns': {'1-8_10-28': 635, '6-28': 2, '13-28': 1, '11-28': 1, '4-28': 1, '3-28': 1, '10-28': 1, '7-28': 1}}",216,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 20 is missing from 13.5% of trips in direction 0",9011005021700000,217,17,9022005001243002,Kungsgatan,0,"{'canonical_position': 20, 'missing_count': 634, 'total_trips': 4709, 'missing_percentage': 13.5}",217,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005021700000,217,17,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 613, 'total_trips': 4542, 'missing_percentage': 13.5}",217,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 6 alternative patterns.,9011005021700000,217,17,,,0,"{'canonical_pattern': {'1-21': 4069}, 'alternative_patterns': {'1-19_21': 633, '8-19_21': 1, '8-21': 2, '7-21': 2, '17-21': 1, '2-21': 1}}",217,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 5 alternative patterns.,9011005021700000,217,17,,,1,"{'canonical_pattern': {'1-22': 3929}, 'alternative_patterns': {'1_3-22': 608, '3-22': 1, '7-22': 1, '5-22': 2, '10-22': 1}}",217,direction_topology
missing_stop_coverage,medium,"Stop Vickergatan, with stop_id 9022005001307002 in canonical position 2 is missing from 69.6% of trips in direction 0",9011005021800000,218,18,9022005001307002,Vickergatan,0,"{'canonical_position': 2, 'missing_count': 3288, 'total_trips': 4725, 'missing_percentage': 69.6}",218,direction_topology
missing_stop_coverage,medium,"Stop Wernersgatan, with stop_id 9022005000430002 in canonical position 3 is missing from 69.6% of trips in direction 0",9011005021800000,218,18,9022005000430002,Wernersgatan,0,"{'canonical_position': 3, 'missing_count': 3288, 'total_trips': 4725, 'missing_percentage': 69.6}",218,direction_topology
missing_stop_coverage,medium,"Stop Skogsfrid, with stop_id 9022005000229002 in canonical position 4 is missing from 69.6% of trips in direction 0",9011005021800000,218,18,9022005000229002,Skogsfrid,0,"{'canonical_position': 4, 'missing_count': 3288, 'total_trips': 4725, 'missing_percentage': 69.6}",218,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 13 is missing from 13.5% of trips in direction 0",9011005021800000,218,18,9022005001243002,Kungsgatan,0,"{'canonical_position': 13, 'missing_count': 637, 'total_trips': 4725, 'missing_percentage': 13.5}",218,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005021800000,218,18,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 625, 'total_trips': 4628, 'missing_percentage': 13.5}",218,direction_topology
missing_stop_coverage,medium,"Stop Skogsfrid, with stop_id 9022005000229001 in canonical position 11 is missing from 69.6% of trips in direction 1",9011005021800000,218,18,9022005000229001,Skogsfrid,1,"{'canonical_position': 11, 'missing_count': 3222, 'total_trips': 4628, 'missing_percentage': 69.6}",218,direction_topology
missing_stop_coverage,medium,"Stop Wernersgatan, with stop_id 9022005000430001 in canonical position 12 is missing from 69.6% of trips in direction 1",9011005021800000,218,18,9022005000430001,Wernersgatan,1,"{'canonical_position': 12, 'missing_count': 3222, 'total_trips': 4628, 'missing_percentage': 69.6}",218,direction_topology
missing_stop_coverage,medium,"Stop Vickergatan, with stop_id 9022005001307001 in canonical position 13 is missing from 69.6% of trips in direction 1",9011005021800000,218,18,9022005001307001,Vickergatan,1,"{'canonical_position': 13, 'missing_count': 3222, 'total_trips': 4628, 'missing_percentage': 69.6}",218,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 7 alternative patterns.,9011005021800000,218,18,,,0,"{'canonical_pattern': {'1-14': 800}, 'alternative_patterns': {'1-12_14': 637, '1_5-14': 3281, '9-14': 3, '13-14': 1, '11-14': 1, '10-14': 1, '8-14': 1}}",218,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 5 alternative patterns.,9011005021800000,218,18,,,1,"{'canonical_pattern': {'1-14': 783}, 'alternative_patterns': {'1_3-14': 623, '1-10_14': 3219, '2-10_14': 1, '7-10_14': 1, '3-10_14': 1}}",218,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 1 alternative patterns.,9011005022000000,220,20,,,1,"{'canonical_pattern': {'1-6': 705}, 'alternative_patterns': {'2-6': 1}}",220,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 1 alternative patterns.,9011005022100000,221,21,,,0,"{'canonical_pattern': {'1-7': 725}, 'alternative_patterns': {'4-7': 2}}",221,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 1 alternative patterns.,9011005022100000,221,21,,,1,"{'canonical_pattern': {'1-7': 703}, 'alternative_patterns': {'2-7': 1}}",221,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 1 alternative patterns.,9011005022200000,222,22,,,1,"{'canonical_pattern': {'1-27': 391}, 'alternative_patterns': {'19-27': 1}}",222,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 2 alternative patterns.,9011005022600000,226,26,,,0,"{'canonical_pattern': {'1-25': 916}, 'alternative_patterns': {'8-25': 2, '19-25': 1}}",226,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 1 alternative patterns.,9011005022600000,226,26,,,1,"{'canonical_pattern': {'1-25': 1028}, 'alternative_patterns': {'8-25': 1}}",226,direction_topology
